,type,startDate,endDate,sleepTime,date_of_week,num_of_movies_watched
2022-08-30,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-08-292022-08-30,2022-08-302022-08-30,0 days 05:39:55,Tuesday,5
2022-09-01,HKCategoryTypeIdentifierSleepAnalysis,2022-08-31,2022-09-01,0 days 08:31:22,Thursday,2
2022-09-02,HKCategoryTypeIdentifierSleepAnalysis,2022-09-01,2022-09-02,0 days 06:34:54,Friday,3
2022-09-05,HKCategoryTypeIdentifierSleepAnalysis,2022-09-05,2022-09-05,0 days 04:56:17,Monday,6
2022-09-06,HKCategoryTypeIdentifierSleepAnalysis,2022-09-06,2022-09-06,0 days 05:59:29,Tuesday,5
2022-09-07,HKCategoryTypeIdentifierSleepAnalysis,2022-09-06,2022-09-07,0 days 05:23:36,Wednesday,2
2022-09-08,HKCategoryTypeIdentifierSleepAnalysis,2022-09-07,2022-09-08,0 days 06:54:24,Thursday,2
2022-09-09,HKCategoryTypeIdentifierSleepAnalysis,2022-09-08,2022-09-09,0 days 06:27:58,Friday,5
2022-09-10,HKCategoryTypeIdentifierSleepAnalysis,2022-09-10,2022-09-10,0 days 06:09:56,Saturday,3
2022-09-14,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-13,2022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-14,0 days 11:23:42,Wednesday,4
2022-09-15,HKCategoryTypeIdentifierSleepAnalysis,2022-09-14,2022-09-15,0 days 06:55:59,Thursday,1
2022-09-16,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-152022-09-162022-09-16,2022-09-152022-09-162022-09-16,0 days 05:37:12,Friday,1
2022-09-24,HKCategoryTypeIdentifierSleepAnalysis,2022-09-23,2022-09-24,0 days 06:26:28,Saturday,2
2022-09-29,HKCategoryTypeIdentifierSleepAnalysis,2022-09-28,2022-09-29,0 days 06:44:39,Thursday,1
2022-10-03,HKCategoryTypeIdentifierSleepAnalysis,2022-10-02,2022-10-03,0 days 06:27:14,Monday,2
2022-10-10,HKCategoryTypeIdentifierSleepAnalysis,2022-10-09,2022-10-10,0 days 08:16:46,Monday,2
2022-10-17,HKCategoryTypeIdentifierSleepAnalysis,2022-10-16,2022-10-17,0 days 05:49:36,Monday,4
2022-10-18,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-18,2022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-182022-10-18,0 days 13:36:49,Tuesday,1
2022-10-21,HKCategoryTypeIdentifierSleepAnalysis,2022-10-20,2022-10-21,0 days 06:37:45,Friday,1
2022-10-28,HKCategoryTypeIdentifierSleepAnalysis,2022-10-27,2022-10-28,0 days 05:35:46,Friday,2
2022-11-08,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-11-082022-11-08,2022-11-082022-11-08,0 days 06:06:47,Tuesday,1
2022-11-10,HKCategoryTypeIdentifierSleepAnalysis,2022-11-10,2022-11-10,0 days 06:32:53,Thursday,1
2022-11-13,HKCategoryTypeIdentifierSleepAnalysis,2022-11-13,2022-11-13,0 days 06:17:34,Sunday,6
2022-11-18,HKCategoryTypeIdentifierSleepAnalysis,2022-11-18,2022-11-18,0 days 05:56:40,Friday,1
2022-11-21,HKCategoryTypeIdentifierSleepAnalysis,2022-11-21,2022-11-21,0 days 05:50:45,Monday,5
2022-11-22,HKCategoryTypeIdentifierSleepAnalysis,2022-11-22,2022-11-22,0 days 06:18:55,Tuesday,10
2022-11-23,HKCategoryTypeIdentifierSleepAnalysis,2022-11-23,2022-11-23,0 days 06:17:10,Wednesday,8
2022-11-24,HKCategoryTypeIdentifierSleepAnalysis,2022-11-24,2022-11-24,0 days 06:19:49,Thursday,9
2022-11-25,HKCategoryTypeIdentifierSleepAnalysis,2022-11-25,2022-11-25,0 days 05:24:53,Friday,2
2022-11-29,HKCategoryTypeIdentifierSleepAnalysis,2022-11-29,2022-11-29,0 days 06:26:28,Tuesday,5
