creationDate,type,startDate,endDate,sleepTime
2022-08-30,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-08-292022-08-30,2022-08-302022-08-30,0 days 05:39:55
2022-08-31,HKCategoryTypeIdentifierSleepAnalysis,2022-08-30,2022-08-31,0 days 07:51:48
2022-09-01,HKCategoryTypeIdentifierSleepAnalysis,2022-08-31,2022-09-01,0 days 08:31:22
2022-09-02,HKCategoryTypeIdentifierSleepAnalysis,2022-09-01,2022-09-02,0 days 06:34:54
2022-09-03,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-032022-09-032022-09-03,2022-09-032022-09-032022-09-03,0 days 06:51:32
2022-09-05,HKCategoryTypeIdentifierSleepAnalysis,2022-09-05,2022-09-05,0 days 04:56:17
2022-09-06,HKCategoryTypeIdentifierSleepAnalysis,2022-09-06,2022-09-06,0 days 05:59:29
2022-09-07,HKCategoryTypeIdentifierSleepAnalysis,2022-09-06,2022-09-07,0 days 05:23:36
2022-09-08,HKCategoryTypeIdentifierSleepAnalysis,2022-09-07,2022-09-08,0 days 06:54:24
2022-09-09,HKCategoryTypeIdentifierSleepAnalysis,2022-09-08,2022-09-09,0 days 06:27:58
2022-09-10,HKCategoryTypeIdentifierSleepAnalysis,2022-09-10,2022-09-10,0 days 06:09:56
2022-09-12,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-112022-09-122022-09-122022-09-122022-09-122022-09-122022-09-122022-09-122022-09-11,2022-09-112022-09-122022-09-122022-09-122022-09-122022-09-122022-09-122022-09-122022-09-12,0 days 13:59:56
2022-09-13,HKCategoryTypeIdentifierSleepAnalysis,2022-09-12,2022-09-13,0 days 07:24:14
2022-09-14,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-13,2022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-142022-09-14,0 days 11:23:42
2022-09-15,HKCategoryTypeIdentifierSleepAnalysis,2022-09-14,2022-09-15,0 days 06:55:59
2022-09-16,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-152022-09-162022-09-16,2022-09-152022-09-162022-09-16,0 days 05:37:12
2022-09-17,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-17,2022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-172022-09-17,0 days 09:42:43
2022-09-19,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-182022-09-19,2022-09-192022-09-19,0 days 07:28:51
2022-09-20,HKCategoryTypeIdentifierSleepAnalysis,2022-09-20,2022-09-20,0 days 06:20:13
2022-09-21,HKCategoryTypeIdentifierSleepAnalysis,2022-09-20,2022-09-21,0 days 06:17:04
2022-09-22,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-09-212022-09-222022-09-222022-09-222022-09-22,2022-09-212022-09-222022-09-222022-09-222022-09-22,0 days 06:50:59
2022-09-23,HKCategoryTypeIdentifierSleepAnalysis,2022-09-23,2022-09-23,0 days 04:50:42
