creationDate,type,startDate,endDate,sleepTime
2022-01-12,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-01-122022-01-122022-01-12,2022-01-122022-01-122022-01-12,0 days 05:53:27
2022-01-13,HKCategoryTypeIdentifierSleepAnalysis,2022-01-13,2022-01-13,0 days 06:55:50
2022-01-14,HKCategoryTypeIdentifierSleepAnalysis,2022-01-14,2022-01-14,0 days 04:31:58
2022-01-17,HKCategoryTypeIdentifierSleepAnalysis,2022-01-17,2022-01-17,0 days 06:47:59
2022-01-18,HKCategoryTypeIdentifierSleepAnalysis,2022-01-18,2022-01-18,0 days 05:12:19
2022-01-19,HKCategoryTypeIdentifierSleepAnalysis,2022-01-19,2022-01-19,0 days 04:38:03
2022-01-20,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-01-202022-01-20,2022-01-202022-01-20,0 days 06:26:07
2022-01-21,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-01-202022-01-202022-01-212022-01-21,2022-01-202022-01-202022-01-212022-01-21,0 days 04:57:17
2022-01-24,HKCategoryTypeIdentifierSleepAnalysis,2022-01-24,2022-01-24,0 days 05:29:28
2022-01-25,HKCategoryTypeIdentifierSleepAnalysis,2022-01-25,2022-01-25,0 days 06:36:27
2022-01-26,HKCategoryTypeIdentifierSleepAnalysis,2022-01-26,2022-01-26,0 days 05:04:28
2022-01-27,HKCategoryTypeIdentifierSleepAnalysis,2022-01-27,2022-01-27,0 days 05:11:18
2022-01-28,HKCategoryTypeIdentifierSleepAnalysis,2022-01-28,2022-01-28,0 days 04:34:27
2022-01-29,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-01-292022-01-292022-01-29,2022-01-292022-01-292022-01-29,0 days 06:27:01
2022-01-31,HKCategoryTypeIdentifierSleepAnalysis,2022-01-31,2022-01-31,0 days 05:16:59
2022-02-01,HKCategoryTypeIdentifierSleepAnalysis,2022-02-01,2022-02-01,0 days 05:27:52
2022-02-02,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-02-022022-02-022022-02-02,2022-02-022022-02-022022-02-02,0 days 05:46:25
2022-02-03,HKCategoryTypeIdentifierSleepAnalysis,2022-02-03,2022-02-03,0 days 04:42:13
2022-02-04,HKCategoryTypeIdentifierSleepAnalysis,2022-02-04,2022-02-04,0 days 04:44:01
2022-02-07,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-02-062022-02-072022-02-072022-02-072022-02-072022-02-072022-02-07,2022-02-072022-02-072022-02-072022-02-072022-02-072022-02-072022-02-07,0 days 09:56:25
2022-02-08,HKCategoryTypeIdentifierSleepAnalysis,2022-02-08,2022-02-08,0 days 05:03:28
2022-02-09,HKCategoryTypeIdentifierSleepAnalysis,2022-02-09,2022-02-09,0 days 04:48:03
2022-02-10,HKCategoryTypeIdentifierSleepAnalysis,2022-02-10,2022-02-10,0 days 09:15:58
2022-02-11,HKCategoryTypeIdentifierSleepAnalysis,2022-02-11,2022-02-11,0 days 04:20:27
2022-02-14,HKCategoryTypeIdentifierSleepAnalysis,2022-02-14,2022-02-14,0 days 03:47:37
2022-02-15,HKCategoryTypeIdentifierSleepAnalysis,2022-02-15,2022-02-15,0 days 05:05:03
2022-02-16,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-02-162022-02-162022-02-162022-02-16,2022-02-162022-02-162022-02-162022-02-16,0 days 02:57:37
2022-02-17,HKCategoryTypeIdentifierSleepAnalysis,2022-02-17,2022-02-17,0 days 08:54:01
2022-02-18,HKCategoryTypeIdentifierSleepAnalysis,2022-02-18,2022-02-18,0 days 04:50:10
2022-02-21,HKCategoryTypeIdentifierSleepAnalysis,2022-02-21,2022-02-21,0 days 04:34:43
2022-02-22,HKCategoryTypeIdentifierSleepAnalysis,2022-02-22,2022-02-22,0 days 07:49:39
2022-02-23,HKCategoryTypeIdentifierSleepAnalysisHKCategoryTypeIdentifierSleepAnalysis,2022-02-232022-02-23,2022-02-232022-02-23,0 days 05:12:18
